words,"",10,2,2016,3,365,4,5,950,adds,ai,amazon,android,announces,app,apple,apps,available,azure,band,big,book,build,business,buy,ceo,cloud,corporation,cortana,data,deal,dynamics,edge,enterprise,facebook,first,free,future,game,games,get,gets,google,help,heres,hololens,india,internet,ios,iphone,latest,launches,linkedin,live,lumia,make,may,microsoft,microsofts,mobile,msft,nadella,new,next,office,one,open,pc,phone,power,preview,pro,project,release,releases,review,satya,says,security,server,services,skype,software,stock,store,support,surface,tech,technology,uk,update,updates,upgrade,us,users,video,vs,wants,windows,xbox
ai,20,4,0.0,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,4.0,2.0,0.0,0.0,6.0,0.0,6.0,3.0,0.0,5.0,1.0,1.0,8.0,1.0,1.0,0.0,0.0,0.0,3.0,5,0.0,7.0,8.0,2.0,6.0,0.0,3.0,2.0,0.0,1.0,0.0,4.0,1.0,1.0,9.0,0.0,0.0,3.0,0.0,2.0,6.0,88,31,0.0,3.0,5.0,17,1.0,1.0,7,5.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,10.0,6.0,2.0,0.0,4.0,2.0,1.0,7,3.0,0.0,4.0,6,0.0
amazon,36,10,6.0,8,3.0,2.0,2.0,0.0,5.0,0.0,0.0,0.0,2.0,1.0,3.0,30.0,6.0,4.0,35.0,7.0,9.0,1.0,6.0,25.0,14.0,5.0,90.0,1.0,1.0,17.0,6.0,0.0,0.0,7.0,35.0,4,2.0,3.0,1.0,0.0,3.0,1.0,82.0,3.0,0.0,0.0,6.0,2.0,2.0,2.0,7.0,1.0,2.0,2.0,8.0,8.0,10.0,245,39,5.0,18.0,6.0,23,3.0,3.0,13,5.0,1.0,1.0,4.0,0.0,3.0,0.0,0.0,1.0,1.0,4.0,3.0,3.0,2.0,52.0,0.0,8.0,2.0,11.0,8.0,7.0,19.0,15.0,12.0,0.0,0.0,0.0,11.0,4,0.0,5.0,1.0,6,3.0
android,66,49,17.0,11,0.0,9.0,1.0,1.0,2.0,5.0,1.0,2.0,0.0,1.0,140.0,15.0,159.0,36.0,0.0,16.0,7.0,0.0,18.0,13.0,5.0,6.0,1.0,2.0,57.0,4.0,18.0,0.0,0.0,2.0,4.0,30,23.0,4.0,5.0,4.0,18.0,4.0,46.0,16.0,5.0,1.0,0.0,1.0,184.0,27.0,32.0,0.0,0.0,2.0,6.0,18.0,16.0,401,108,93.0,2.0,10.0,93,10.0,53.0,43,11.0,3.0,38.0,1.0,4.0,2.0,26.0,9.0,2.0,2.0,11.0,5.0,1.0,1.0,14.0,42.0,36.0,2.0,32.0,23.0,3.0,11.0,6.0,0.0,45.0,14.0,0.0,15.0,98,14.0,0.0,12.0,125,2.0
announces,17,3,0.0,12,1.0,2.0,0.0,2.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,5.0,9.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,9.0,0.0,0.0,9.0,2.0,8.0,1.0,4.0,0.0,4,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,4.0,58,2,2.0,0.0,1.0,14,1.0,4.0,4,3.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,6.0,2.0,8.0,0.0,1.0,4.0,1.0,1.0,6.0,1.0,0.0,2.0,0.0,1.0,4,0.0,0.0,0.0,5,3.0
app,96,180,16.0,9,0.0,22.0,2.0,2.0,1.0,8.0,5.0,3.0,140.0,1.0,0.0,23.0,91.0,59.0,9.0,30.0,12.0,3.0,31.0,36.0,7.0,11.0,26.0,8.0,29.0,41.0,8.0,2.0,9.0,10.0,12.0,41,40.0,11.0,8.0,7.0,42.0,5.0,45.0,38.0,1.0,32.0,0.0,5.0,130.0,59.0,57.0,2.0,3.0,10.0,7.0,30.0,11.0,779,205,138.0,8.0,6.0,300,13.0,55.0,66,10.0,29.0,37.0,11.0,20.0,21.0,34.0,32.0,1.0,1.0,7.0,20.0,13.0,1.0,20.0,57.0,48.0,0.0,104.0,44.0,7.0,18.0,25.0,0.0,112.0,24.0,14.0,14.0,163,26.0,0.0,13.0,277,30.0
apple,62,26,18.0,9,4.0,2.0,25.0,1.0,6.0,3.0,0.0,30.0,15.0,0.0,23.0,0.0,18.0,7.0,0.0,15.0,26.0,13.0,6.0,24.0,9.0,33.0,8.0,14.0,11.0,16.0,3.0,0.0,2.0,2.0,52.0,30,5.0,5.0,6.0,2.0,23.0,1.0,130.0,12.0,6.0,1.0,12.0,7.0,17.0,48.0,15.0,1.0,2.0,0.0,10.0,15.0,28.0,534,80,21.0,33.0,10.0,91,13.0,12.0,50,4.0,24.0,12.0,6.0,4.0,66.0,8.0,8.0,1.0,0.0,10.0,14.0,8.0,0.0,9.0,2.0,19.0,3.0,21.0,30.0,71.0,68.0,28.0,3.0,6.0,2.0,0.0,42.0,31,5.0,13.0,4.0,39,13.0
apps,77,110,7.0,16,1.0,24.0,3.0,2.0,1.0,3.0,4.0,6.0,159.0,4.0,91.0,18.0,0.0,32.0,14.0,5.0,11.0,4.0,50.0,47.0,7.0,15.0,33.0,1.0,16.0,14.0,10.0,4.0,2.0,7.0,17.0,36,19.0,10.0,5.0,23.0,17.0,3.0,59.0,31.0,6.0,22.0,1.0,3.0,98.0,23.0,18.0,0.0,0.0,3.0,6.0,27.0,21.0,493,138,112.0,1.0,19.0,135,12.0,83.0,65,4.0,4.0,34.0,4.0,13.0,12.0,34.0,13.0,2.0,0.0,20.0,4.0,4.0,1.0,31.0,27.0,36.0,0.0,50.0,22.0,8.0,17.0,15.0,1.0,25.0,28.0,2.0,11.0,79,5.0,1.0,9.0,210,20.0
available,75,114,15.0,54,6.0,34.0,31.0,7.0,24.0,3.0,2.0,4.0,36.0,5.0,59.0,7.0,32.0,0.0,51.0,17.0,13.0,11.0,27.0,33.0,6.0,5.0,44.0,3.0,23.0,23.0,4.0,19.0,17.0,16.0,2.0,47,37.0,7.0,17.0,26.0,13.0,0.0,11.0,15.0,3.0,14.0,10.0,12.0,34.0,8.0,37.0,2.0,0.0,5.0,50.0,42.0,14.0,463,149,57.0,3.0,4.0,135,16.0,48.0,77,19.0,16.0,20.0,19.0,44.0,35.0,27.0,16.0,3.0,0.0,5.0,9.0,11.0,28.0,23.0,11.0,40.0,2.0,49.0,27.0,44.0,6.0,6.0,17.0,32.0,11.0,7.0,23.0,62,20.0,0.0,2.0,149,52.0
azure,73,14,0.0,47,10.0,69.0,2.0,2.0,0.0,3.0,0.0,35.0,0.0,9.0,9.0,0.0,14.0,51.0,0.0,0.0,10.0,0.0,26.0,41.0,2.0,20.0,342.0,3.0,6.0,90.0,13.0,21.0,1.0,69.0,1.0,29,15.0,5.0,1.0,4.0,5.0,0.0,9.0,15.0,4.0,2.0,4.0,20.0,0.0,0.0,11.0,1.0,1.0,3.0,0.0,21.0,19.0,610,167,16.0,8.0,13.0,121,19.0,80.0,23,29.0,3.0,2.0,15.0,52.0,0.0,12.0,11.0,1.0,0.0,14.0,7.0,28.0,25.0,158.0,2.0,41.0,3.0,3.0,38.0,3.0,9.0,30.0,6.0,4.0,5.0,6.0,8.0,22,7.0,2.0,5.0,35,7.0
band,15,15,205.0,10,5.0,0.0,4.0,5.0,0.0,4.0,0.0,7.0,16.0,0.0,30.0,15.0,5.0,17.0,0.0,0.0,4.0,2.0,2.0,0.0,7.0,0.0,0.0,3.0,11.0,3.0,6.0,0.0,0.0,0.0,4.0,26,3.0,0.0,3.0,0.0,17.0,1.0,2.0,6.0,2.0,1.0,0.0,1.0,3.0,2.0,19.0,1.0,0.0,2.0,4.0,5.0,8.0,339,34,6.0,0.0,0.0,90,1.0,0.0,33,1.0,5.0,9.0,2.0,0.0,4.0,0.0,6.0,0.0,5.0,0.0,2.0,0.0,0.0,2.0,0.0,8.0,2.0,19.0,8.0,13.0,3.0,2.0,14.0,53.0,7.0,0.0,15.0,27,1.0,0.0,1.0,20,1.0
big,59,76,7.0,33,6.0,14.0,10.0,1.0,4.0,2.0,6.0,9.0,7.0,0.0,12.0,26.0,11.0,13.0,10.0,4.0,0.0,2.0,35.0,34.0,5.0,13.0,34.0,3.0,8.0,34.0,18.0,5.0,4.0,10.0,5.0,25,9.0,13.0,11.0,14.0,12.0,2.0,14.0,9.0,5.0,11.0,4.0,9.0,3.0,2.0,21.0,0.0,13.0,4.0,7.0,13.0,14.0,377,96,21.0,13.0,15.0,84,26.0,22.0,68,4.0,11.0,6.0,6.0,13.0,9.0,8.0,18.0,5.0,0.0,14.0,7.0,6.0,3.0,10.0,6.0,30.0,3.0,6.0,7.0,25.0,31.0,39.0,6.0,33.0,12.0,3.0,24.0,25,9.0,1.0,7.0,97,30.0
book,34,20,11.0,10,6.0,2.0,102.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,13.0,4.0,11.0,0.0,2.0,2.0,0.0,0.0,11.0,8.0,19.0,1.0,1.0,2.0,2.0,9.0,0.0,1.0,1.0,0.0,38,2.0,3.0,2.0,0.0,8.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,13.0,2.0,0.0,1.0,2.0,1.0,11.0,199,98,1.0,2.0,9.0,68,10.0,4.0,14,3.0,7.0,7.0,12.0,1.0,125.0,0.0,10.0,1.0,3.0,13.0,3.0,2.0,0.0,1.0,2.0,8.0,0.0,10.0,1.0,257.0,8.0,5.0,11.0,16.0,22.0,1.0,12.0,18,1.0,2.0,1.0,31,3.0
build,78,216,7.0,142,4.0,10.0,4.0,2.0,4.0,7.0,6.0,6.0,18.0,1.0,31.0,6.0,50.0,27.0,26.0,2.0,35.0,0.0,0.0,18.0,5.0,28.0,39.0,6.0,22.0,22.0,4.0,0.0,36.0,19.0,29.0,59,14.0,20.0,10.0,3.0,27.0,1.0,12.0,32.0,6.0,47.0,5.0,7.0,15.0,0.0,65.0,1.0,1.0,8.0,11.0,25.0,18.0,602,168,68.0,10.0,29.0,212,20.0,33.0,50,12.0,16.0,15.0,12.0,91.0,3.0,26.0,49.0,1.0,1.0,30.0,2.0,2.0,4.0,33.0,16.0,36.0,0.0,12.0,26.0,6.0,19.0,20.0,5.0,63.0,18.0,11.0,24.0,43,11.0,2.0,13.0,294,23.0
business,115,56,2.0,48,2.0,52.0,12.0,1.0,11.0,5.0,3.0,25.0,13.0,8.0,36.0,24.0,47.0,33.0,41.0,0.0,34.0,11.0,18.0,0.0,12.0,34.0,158.0,10.0,4.0,50.0,23.0,30.0,3.0,38.0,7.0,44,8.0,10.0,5.0,4.0,21.0,1.0,30.0,28.0,6.0,4.0,12.0,17.0,10.0,3.0,26.0,1.0,28.0,3.0,17.0,24.0,25.0,753,195,70.0,26.0,42.0,160,16.0,75.0,39,4.0,16.0,65.0,40.0,19.0,12.0,10.0,17.0,2.0,0.0,43.0,13.0,9.0,10.0,59.0,87.0,103.0,4.0,16.0,16.0,28.0,35.0,50.0,3.0,12.0,12.0,12.0,25.0,69,13.0,1.0,12.0,82,9.0
buy,30,12,12.0,5,8.0,1.0,12.0,3.0,6.0,0.0,0.0,14.0,5.0,0.0,7.0,9.0,7.0,6.0,2.0,7.0,5.0,8.0,5.0,12.0,0.0,10.0,9.0,5.0,1.0,6.0,49.0,0.0,0.0,3.0,2.0,9,8.0,5.0,12.0,7.0,12.0,0.0,1.0,11.0,3.0,11.0,3.0,4.0,2.0,0.0,9.0,1.0,63.0,3.0,13.0,12.0,10.0,251,51,8.0,20.0,7.0,40,3.0,6.0,36,1.0,8.0,4.0,1.0,0.0,14.0,0.0,1.0,0.0,1.0,7.0,5.0,0.0,0.0,7.0,4.0,23.0,21.0,29.0,1.0,30.0,17.0,6.0,4.0,4.0,1.0,4.0,15.0,10,1.0,3.0,3.0,16,19.0
ceo,63,20,8.0,25,0.0,10.0,8.0,0.0,2.0,0.0,5.0,5.0,6.0,0.0,11.0,33.0,15.0,5.0,20.0,0.0,13.0,19.0,28.0,34.0,10.0,0.0,63.0,11.0,4.0,15.0,26.0,3.0,0.0,10.0,4.0,42,3.0,16.0,5.0,2.0,6.0,0.0,11.0,6.0,3.0,2.0,30.0,4.0,3.0,13.0,5.0,0.0,35.0,0.0,5.0,13.0,13.0,505,95,16.0,14.0,394.0,78,18.0,20.0,49,13.0,6.0,8.0,4.0,1.0,7.0,2.0,6.0,0.0,0.0,418.0,17.0,18.0,4.0,26.0,3.0,31.0,6.0,2.0,6.0,15.0,35.0,35.0,13.0,0.0,4.0,1.0,13.0,11,8.0,1.0,3.0,43,4.0
cloud,140,31,11.0,66,8.0,89.0,1.0,5.0,0.0,4.0,1.0,90.0,1.0,9.0,26.0,8.0,33.0,44.0,342.0,0.0,34.0,1.0,39.0,158.0,9.0,63.0,0.0,13.0,9.0,146.0,15.0,36.0,4.0,111.0,16.0,55,49.0,11.0,3.0,3.0,23.0,5.0,56.0,40.0,5.0,6.0,19.0,24.0,2.0,0.0,27.0,3.0,12.0,1.0,0.0,29.0,40.0,1062,245,40.0,48.0,71.0,201,48.0,106.0,56,41.0,19.0,1.0,30.0,22.0,1.0,17.0,19.0,1.0,1.0,77.0,18.0,48.0,30.0,291.0,9.0,121.0,18.0,5.0,29.0,5.0,49.0,60.0,14.0,6.0,7.0,5.0,51.0,47,4.0,3.0,14.0,49,6.0
corporation,47,8,1.0,15,5.0,2.0,6.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,8.0,14.0,1.0,3.0,3.0,3.0,3.0,1.0,6.0,10.0,5.0,11.0,13.0,0.0,3.0,7.0,13.0,0.0,0.0,2.0,2.0,16,4.0,3.0,5.0,4.0,6.0,0.0,3.0,3.0,0.0,4.0,1.0,8.0,6.0,0.0,8.0,1.0,12.0,1.0,5.0,5.0,7.0,366,6,5.0,155.0,8.0,34,8.0,7.0,22,1.0,3.0,5.0,0.0,1.0,3.0,1.0,5.0,0.0,0.0,9.0,0.0,6.0,1.0,6.0,4.0,18.0,46.0,0.0,5.0,6.0,16.0,25.0,2.0,4.0,1.0,3.0,5.0,9,5.0,3.0,1.0,19,10.0
cortana,53,87,12.0,1,0.0,1.0,2.0,0.0,1.0,0.0,8.0,1.0,57.0,0.0,29.0,11.0,16.0,23.0,6.0,11.0,8.0,2.0,22.0,4.0,1.0,4.0,9.0,3.0,0.0,6.0,3.0,1.0,21.0,1.0,2.0,16,2.0,7.0,21.0,6.0,17.0,0.0,21.0,5.0,2.0,4.0,2.0,3.0,36.0,11.0,16.0,1.0,0.0,2.0,3.0,13.0,2.0,255,84,15.0,5.0,7.0,64,8.0,9.0,17,5.0,9.0,16.0,9.0,14.0,1.0,1.0,8.0,1.0,0.0,7.0,0.0,0.0,2.0,8.0,18.0,15.0,0.0,4.0,13.0,1.0,6.0,7.0,0.0,20.0,5.0,8.0,8.0,59,2.0,0.0,10.0,112,5.0
data,107,60,5.0,45,11.0,35.0,2.0,2.0,0.0,4.0,1.0,17.0,4.0,9.0,41.0,16.0,14.0,23.0,90.0,3.0,34.0,2.0,22.0,50.0,6.0,15.0,146.0,7.0,6.0,0.0,8.0,15.0,8.0,25.0,19.0,49,8.0,22.0,0.0,0.0,17.0,2.0,25.0,45.0,3.0,3.0,6.0,17.0,6.0,3.0,26.0,2.0,8.0,15.0,2.0,16.0,27.0,668,154,36.0,11.0,18.0,165,15.0,45.0,32,23.0,8.0,4.0,39.0,7.0,4.0,24.0,9.0,1.0,0.0,19.0,20.0,34.0,16.0,66.0,2.0,50.0,1.0,28.0,16.0,13.0,49.0,25.0,18.0,5.0,6.0,1.0,106.0,59,3.0,4.0,12.0,60,2.0
deal,49,21,7.0,2,6.0,4.0,8.0,2.0,7.0,0.0,1.0,6.0,18.0,2.0,8.0,3.0,10.0,4.0,13.0,6.0,18.0,9.0,4.0,23.0,49.0,26.0,15.0,13.0,3.0,8.0,0.0,2.0,0.0,6.0,0.0,17,11.0,6.0,8.0,5.0,16.0,2.0,13.0,15.0,2.0,3.0,2.0,4.0,5.0,1.0,6.0,0.0,101.0,0.0,13.0,12.0,12.0,344,55,19.0,30.0,22.0,43,2.0,19.0,30,1.0,1.0,13.0,2.0,0.0,6.0,1.0,3.0,0.0,0.0,22.0,7.0,4.0,0.0,20.0,13.0,32.0,3.0,20.0,3.0,21.0,28.0,22.0,6.0,3.0,1.0,3.0,24.0,8,3.0,1.0,3.0,31,12.0
dynamics,28,6,0.0,55,0.0,21.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,2.0,0.0,4.0,19.0,21.0,0.0,5.0,0.0,0.0,30.0,0.0,3.0,36.0,0.0,1.0,15.0,2.0,0.0,1.0,17.0,0.0,4,1.0,1.0,2.0,0.0,3.0,0.0,1.0,9.0,0.0,1.0,3.0,5.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,2.0,6.0,192,22,4.0,2.0,1.0,40,20.0,20.0,9,1.0,0.0,0.0,9.0,1.0,0.0,4.0,22.0,1.0,0.0,1.0,0.0,4.0,1.0,25.0,2.0,35.0,0.0,1.0,5.0,0.0,0.0,9.0,4.0,13.0,4.0,1.0,3.0,5,0.0,0.0,0.0,2,0.0
edge,42,150,1.0,18,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,9.0,2.0,2.0,17.0,1.0,0.0,4.0,1.0,36.0,3.0,0.0,0.0,4.0,0.0,21.0,8.0,0.0,1.0,0.0,5.0,2.0,23,4.0,10.0,3.0,0.0,14.0,2.0,32.0,5.0,2.0,1.0,1.0,86.0,0.0,0.0,18.0,0.0,0.0,1.0,1.0,10.0,15.0,362,95,7.0,1.0,0.0,101,24.0,20.0,35,22.0,8.0,0.0,9.0,24.0,0.0,6.0,14.0,0.0,0.0,0.0,9.0,25.0,4.0,0.0,6.0,16.0,0.0,4.0,71.0,2.0,8.0,9.0,0.0,41.0,13.0,1.0,4.0,54,11.0,0.0,6.0,188,1.0
enterprise,39,29,0.0,26,2.0,27.0,7.0,2.0,1.0,0.0,0.0,7.0,2.0,4.0,10.0,2.0,7.0,16.0,69.0,0.0,10.0,1.0,19.0,38.0,3.0,10.0,111.0,2.0,1.0,25.0,6.0,17.0,5.0,0.0,1.0,19,10.0,3.0,0.0,0.0,3.0,0.0,12.0,12.0,1.0,4.0,5.0,3.0,1.0,3.0,10.0,1.0,7.0,0.0,4.0,14.0,7.0,359,60,22.0,6.0,8.0,87,16.0,44.0,20,13.0,1.0,5.0,4.0,8.0,7.0,7.0,7.0,1.0,0.0,7.0,7.0,17.0,17.0,26.0,8.0,63.0,2.0,1.0,5.0,6.0,10.0,15.0,1.0,8.0,3.0,0.0,6.0,26,1.0,0.0,2.0,39,2.0
facebook,40,11,2.0,6,0.0,3.0,1.0,0.0,0.0,0.0,3.0,35.0,4.0,0.0,12.0,52.0,17.0,2.0,1.0,4.0,5.0,0.0,29.0,7.0,2.0,4.0,16.0,2.0,2.0,19.0,0.0,0.0,2.0,1.0,0.0,12,9.0,2.0,0.0,1.0,17.0,1.0,116.0,16.0,0.0,3.0,8.0,24.0,6.0,8.0,13.0,1.0,7.0,2.0,0.0,4.0,9.0,304,17,6.0,14.0,1.0,57,3.0,5.0,7,2.0,1.0,6.0,4.0,0.0,2.0,4.0,1.0,0.0,5.0,1.0,6.0,5.0,0.0,28.0,5.0,19.0,3.0,4.0,17.0,2.0,65.0,20.0,8.0,2.0,0.0,0.0,16.0,19,0.0,2.0,0.0,8,4.0
