words,"",2015,2016,ahead,amid,back,bad,bank,better,big,boost,brexit,budget,business,central,china,chinas,chinese,crisis,data,despite,digital,economic,economy,economys,eu,expected,fed,feds,first,focus,fuel,gdp,german,gig,global,good,government,grew,grow,growing,grows,growth,help,hit,imf,impact,india,indian,japan,japans,jobs,local,low,market,markets,may,minister,new,obama,oil,outlook,pct,percent,plan,policy,president,prices,quarter,rate,rates,recession,report,risks,russian,saudi,says,sees,sharing,shows,signs,slowing,slows,south,spending,state,still,stocks,strong,tax,top,trade,trump,uk,us,warns,weak,world,year,years
boost,83,25.0,22.0,3.0,5.0,13.0,16.0,40.0,14.0,17.0,0.0,0.0,14.0,27.0,27.0,21.0,17.0,4.0,4.0,20.0,8.0,4.0,121,471,14.0,3.0,35.0,1.0,1.0,29.0,2.0,3.0,12.0,10.0,0.0,45,8.0,65.0,25.0,10.0,10.0,1.0,105,49.0,8.0,11.0,5.0,3.0,6.0,13.0,21.0,17.0,24.0,23.0,21.0,14.0,21.0,52.0,63.0,2.0,25.0,18.0,0.0,39.0,14.0,28.0,15.0,31.0,41.0,25.0,13.0,6.0,16.0,0.0,1.0,3.0,28,1.0,0.0,6.0,0.0,16.0,0.0,6.0,48.0,14.0,5.0,2.0,21.0,26.0,10.0,15.0,1.0,17.0,45,2.0,9.0,27,101.0,27.0
brexit,50,0.0,5.0,5.0,0.0,3.0,4.0,23.0,1.0,1.0,0.0,0.0,3.0,9.0,6.0,7.0,3.0,1.0,4.0,8.0,8.0,0.0,92,253,0.0,42.0,5.0,6.0,0.0,9.0,2.0,0.0,3.0,6.0,0.0,61,2.0,7.0,1.0,1.0,5.0,0.0,30,1.0,22.0,21.0,45.0,5.0,3.0,3.0,2.0,2.0,1.0,1.0,14.0,20.0,14.0,25.0,14.0,0.0,1.0,7.0,0.0,17.0,1.0,6.0,2.0,6.0,0.0,4.0,3.0,7.0,17.0,27.0,4.0,0.0,13,1.0,0.0,1.0,7.0,7.0,0.0,2.0,0.0,7.0,4.0,0.0,4.0,1.0,3.0,10.0,2.0,64.0,29,5.0,1.0,31,3.0,5.0
budget,44,19.0,49.0,12.0,3.0,6.0,2.0,9.0,3.0,4.0,14.0,3.0,0.0,3.0,3.0,4.0,11.0,1.0,6.0,1.0,11.0,3.0,99,243,1.0,11.0,22.0,1.0,0.0,14.0,16.0,2.0,12.0,5.0,0.0,19,5.0,63.0,4.0,16.0,7.0,1.0,48,10.0,4.0,3.0,13.0,6.0,3.0,1.0,4.0,9.0,8.0,4.0,3.0,6.0,10.0,58.0,48.0,1.0,19.0,18.0,0.0,22.0,8.0,8.0,13.0,11.0,3.0,4.0,2.0,6.0,7.0,5.0,5.0,7.0,20,1.0,4.0,7.0,6.0,5.0,0.0,5.0,24.0,23.0,4.0,0.0,12.0,14.0,9.0,2.0,0.0,9.0,3,2.0,3.0,5,61.0,20.0
business,160,54.0,41.0,10.0,5.0,22.0,9.0,38.0,17.0,25.0,27.0,9.0,3.0,0.0,12.0,28.0,22.0,17.0,15.0,49.0,33.0,21.0,293,760,14.0,14.0,34.0,2.0,3.0,55.0,10.0,2.0,12.0,12.0,10.0,90,26.0,67.0,41.0,33.0,28.0,1.0,133,17.0,5.0,2.0,32.0,1.0,6.0,10.0,25.0,25.0,32.0,16.0,26.0,18.0,29.0,36.0,132.0,3.0,20.0,46.0,0.0,38.0,11.0,19.0,21.0,17.0,87.0,24.0,15.0,20.0,55.0,12.0,2.0,3.0,67,4.0,39.0,21.0,13.0,20.0,3.0,16.0,71.0,41.0,18.0,1.0,33.0,14.0,16.0,28.0,11.0,28.0,103,0.0,29.0,40,85.0,44.0
central,200,64.0,52.0,7.0,16.0,23.0,1.0,589.0,3.0,8.0,27.0,6.0,3.0,12.0,0.0,34.0,59.0,19.0,20.0,41.0,22.0,2.0,189,681,10.0,12.0,55.0,16.0,12.0,59.0,8.0,4.0,18.0,10.0,2.0,113,17.0,57.0,59.0,37.0,22.0,3.0,164,18.0,23.0,6.0,20.0,18.0,8.0,21.0,19.0,6.0,9.0,21.0,39.0,38.0,38.0,33.0,60.0,1.0,38.0,33.0,0.0,109.0,9.0,96.0,69.0,40.0,84.0,106.0,82.0,33.0,24.0,18.0,13.0,2.0,41,4.0,1.0,4.0,16.0,18.0,2.0,16.0,13.0,19.0,21.0,6.0,19.0,1.0,29.0,6.0,1.0,3.0,73,6.0,20.0,50,118.0,43.0
china,224,68.0,72.0,11.0,20.0,23.0,5.0,66.0,11.0,19.0,21.0,7.0,4.0,28.0,34.0,0.0,132.0,76.0,18.0,87.0,54.0,1.0,343,834,5.0,32.0,41.0,4.0,2.0,59.0,10.0,2.0,8.0,14.0,0.0,214,20.0,29.0,66.0,22.0,53.0,3.0,211,16.0,30.0,15.0,15.0,55.0,8.0,39.0,9.0,18.0,12.0,13.0,145.0,92.0,53.0,40.0,96.0,3.0,37.0,28.0,0.0,79.0,5.0,25.0,22.0,48.0,69.0,36.0,27.0,16.0,24.0,30.0,2.0,2.0,24,2.0,8.0,1.0,31.0,82.0,4.0,12.0,27.0,20.0,37.0,35.0,11.0,5.0,32.0,50.0,3.0,5.0,107,2.0,25.0,117,138.0,60.0
chinas,237,90.0,97.0,23.0,26.0,9.0,3.0,94.0,14.0,10.0,17.0,3.0,11.0,22.0,59.0,132.0,0.0,122.0,38.0,124.0,38.0,1.0,424,1130,11.0,9.0,52.0,4.0,0.0,119.0,16.0,3.0,14.0,3.0,0.0,206,14.0,90.0,122.0,40.0,39.0,0.0,350,22.0,22.0,7.0,17.0,16.0,0.0,13.0,5.0,4.0,4.0,30.0,131.0,117.0,90.0,19.0,92.0,3.0,35.0,57.0,1.0,144.0,14.0,41.0,36.0,48.0,169.0,90.0,19.0,18.0,21.0,18.0,0.0,2.0,30,4.0,2.0,7.0,78.0,120.0,15.0,11.0,23.0,47.0,73.0,33.0,19.0,5.0,68.0,27.0,3.0,1.0,51,1.0,12.0,83,215.0,105.0
chinese,126,35.0,44.0,4.0,23.0,5.0,6.0,30.0,4.0,12.0,4.0,1.0,1.0,17.0,19.0,76.0,122.0,0.0,8.0,40.0,36.0,1.0,146,565,2.0,2.0,19.0,0.0,0.0,33.0,2.0,1.0,6.0,5.0,0.0,97,16.0,30.0,19.0,29.0,20.0,0.0,113,4.0,4.0,11.0,14.0,5.0,2.0,5.0,4.0,5.0,18.0,4.0,49.0,60.0,24.0,14.0,64.0,1.0,27.0,25.0,0.0,46.0,20.0,10.0,52.0,34.0,39.0,19.0,9.0,9.0,8.0,17.0,0.0,2.0,17,2.0,1.0,2.0,28.0,81.0,4.0,5.0,3.0,19.0,14.0,24.0,7.0,0.0,24.0,20.0,1.0,2.0,38,4.0,15.0,38,94.0,36.0
crisis,94,27.0,27.0,6.0,20.0,28.0,5.0,29.0,4.0,1.0,4.0,4.0,6.0,15.0,20.0,18.0,38.0,8.0,0.0,21.0,17.0,1.0,229,389,4.0,12.0,12.0,1.0,2.0,40.0,0.0,2.0,8.0,6.0,0.0,189,6.0,31.0,29.0,9.0,6.0,0.0,60,15.0,16.0,11.0,11.0,7.0,4.0,2.0,0.0,6.0,1.0,15.0,20.0,13.0,21.0,36.0,48.0,2.0,40.0,13.0,0.0,38.0,7.0,6.0,24.0,39.0,45.0,21.0,21.0,44.0,12.0,5.0,14.0,3.0,10,5.0,0.0,5.0,12.0,4.0,0.0,8.0,7.0,19.0,36.0,4.0,2.0,0.0,4.0,9.0,2.0,11.0,29,6.0,11.0,69,59.0,84.0
data,202,121.0,53.0,21.0,23.0,25.0,6.0,64.0,16.0,21.0,20.0,8.0,1.0,49.0,41.0,87.0,124.0,40.0,21.0,0.0,35.0,10.0,375,935,19.0,14.0,85.0,16.0,1.0,175.0,10.0,33.0,66.0,28.0,7.0,108,17.0,82.0,215.0,24.0,44.0,2.0,255,11.0,15.0,3.0,9.0,15.0,10.0,42.0,63.0,40.0,11.0,20.0,80.0,62.0,69.0,40.0,125.0,0.0,45.0,28.0,1.0,255.0,2.0,20.0,8.0,55.0,307.0,116.0,34.0,66.0,40.0,11.0,3.0,11.0,18,0.0,8.0,39.0,33.0,23.0,1.0,34.0,76.0,23.0,33.0,30.0,55.0,9.0,7.0,40.0,0.0,31.0,234,0.0,63.0,26,192.0,70.0
despite,120,47.0,47.0,35.0,10.0,14.0,6.0,47.0,7.0,6.0,8.0,8.0,11.0,33.0,22.0,54.0,38.0,36.0,17.0,35.0,0.0,2.0,213,550,7.0,17.0,29.0,4.0,2.0,25.0,4.0,6.0,17.0,9.0,2.0,139,28.0,36.0,25.0,27.0,39.0,0.0,215,3.0,10.0,5.0,12.0,19.0,15.0,3.0,11.0,31.0,7.0,25.0,52.0,52.0,22.0,42.0,58.0,2.0,34.0,29.0,0.0,61.0,4.0,12.0,24.0,31.0,63.0,43.0,14.0,13.0,21.0,7.0,4.0,1.0,36,0.0,2.0,6.0,25.0,56.0,0.0,11.0,26.0,13.0,48.0,6.0,45.0,4.0,21.0,14.0,2.0,15.0,98,2.0,19.0,54,96.0,31.0
digital,28,3.0,7.0,3.0,0.0,0.0,0.0,1.0,6.0,10.0,4.0,0.0,3.0,21.0,2.0,1.0,1.0,1.0,1.0,10.0,2.0,0.0,20,247,0.0,2.0,4.0,0.0,0.0,14.0,2.0,1.0,4.0,0.0,9.0,10,1.0,14.0,1.0,8.0,4.0,0.0,13,10.0,0.0,0.0,5.0,8.0,3.0,0.0,0.0,15.0,1.0,0.0,4.0,2.0,9.0,12.0,52.0,0.0,1.0,0.0,0.0,4.0,1.0,4.0,0.0,2.0,0.0,4.0,0.0,0.0,18.0,1.0,0.0,2.0,10,1.0,18.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,3.0,6.0,1.0,0.0,14.0,8,0.0,0.0,18,7.0,14.0
economic,906,323.0,404.0,93.0,119.0,110.0,58.0,321.0,68.0,94.0,121.0,92.0,99.0,293.0,189.0,343.0,424.0,146.0,229.0,375.0,213.0,20.0,0,2036,28.0,98.0,201.0,74.0,12.0,313.0,55.0,10.0,147.0,73.0,7.0,730,111.0,423.0,134.0,110.0,128.0,3.0,1820,95.0,80.0,57.0,256.0,106.0,56.0,55.0,35.0,159.0,67.0,109.0,244.0,192.0,217.0,424.0,570.0,75.0,263.0,312.0,2.0,432.0,104.0,267.0,331.0,214.0,305.0,234.0,117.0,145.0,297.0,101.0,104.0,51.0,196,19.0,10.0,88.0,110.0,112.0,10.0,122.0,171.0,237.0,136.0,48.0,151.0,79.0,170.0,193.0,61.0,104.0,660,12.0,114.0,377,677.0,382.0
economy,3347,1201.0,1069.0,282.0,259.0,480.0,189.0,1168.0,347.0,271.0,471.0,253.0,243.0,760.0,681.0,834.0,1130.0,565.0,389.0,935.0,550.0,247.0,2036,0,52.0,359.0,872.0,239.0,78.0,1297.0,178.0,278.0,421.0,263.0,249.0,2331,456.0,1227.0,1193.0,669.0,663.0,43.0,2629,348.0,289.0,197.0,449.0,342.0,313.0,238.0,324.0,820.0,304.0,450.0,936.0,610.0,790.0,1283.0,1914.0,200.0,911.0,411.0,11.0,1666.0,199.0,482.0,832.0,816.0,1766.0,1018.0,497.0,634.0,771.0,278.0,216.0,140.0,819,63.0,434.0,181.0,358.0,484.0,48.0,397.0,613.0,771.0,535.0,191.0,554.0,194.0,342.0,389.0,164.0,555.0,2689,33.0,333.0,1157,2551.0,1214.0
economys,50,23.0,3.0,4.0,6.0,6.0,11.0,17.0,1.0,0.0,14.0,0.0,1.0,14.0,10.0,5.0,11.0,2.0,4.0,19.0,7.0,0.0,28,52,0.0,2.0,11.0,9.0,0.0,19.0,0.0,1.0,7.0,1.0,0.0,28,1.0,17.0,18.0,3.0,3.0,0.0,83,1.0,0.0,4.0,0.0,1.0,3.0,0.0,1.0,5.0,2.0,17.0,9.0,6.0,11.0,4.0,14.0,6.0,14.0,8.0,0.0,33.0,13.0,9.0,15.0,16.0,27.0,44.0,11.0,9.0,17.0,2.0,0.0,1.0,11,0.0,3.0,2.0,2.0,2.0,0.0,1.0,14.0,5.0,3.0,3.0,4.0,3.0,7.0,17.0,1.0,8.0,68,1.0,10.0,5,25.0,8.0
eu,72,7.0,14.0,16.0,4.0,7.0,5.0,28.0,2.0,4.0,3.0,42.0,11.0,14.0,12.0,32.0,9.0,2.0,12.0,14.0,17.0,2.0,98,359,2.0,0.0,8.0,1.0,0.0,9.0,2.0,0.0,11.0,12.0,0.0,63,5.0,8.0,1.0,5.0,3.0,0.0,33,1.0,13.0,18.0,33.0,4.0,3.0,1.0,1.0,27.0,1.0,3.0,39.0,14.0,16.0,33.0,27.0,1.0,2.0,12.0,0.0,18.0,0.0,3.0,3.0,5.0,8.0,5.0,5.0,13.0,9.0,15.0,5.0,0.0,13,4.0,3.0,6.0,2.0,1.0,1.0,1.0,2.0,8.0,6.0,2.0,7.0,2.0,3.0,24.0,1.0,112.0,18,3.0,1.0,35,14.0,6.0
expected,218,103.0,122.0,32.0,14.0,39.0,3.0,90.0,55.0,11.0,35.0,5.0,22.0,34.0,55.0,41.0,52.0,19.0,12.0,85.0,29.0,4.0,201,872,11.0,8.0,0.0,17.0,4.0,109.0,16.0,10.0,50.0,21.0,1.0,69,13.0,77.0,103.0,134.0,33.0,2.0,267,9.0,16.0,13.0,12.0,12.0,36.0,9.0,52.0,52.0,20.0,23.0,43.0,31.0,38.0,59.0,92.0,0.0,43.0,34.0,0.0,188.0,4.0,29.0,16.0,52.0,222.0,105.0,25.0,45.0,52.0,14.0,3.0,8.0,26,0.0,8.0,4.0,13.0,26.0,0.0,25.0,69.0,26.0,26.0,10.0,23.0,14.0,12.0,24.0,1.0,30.0,124,0.0,45.0,37,295.0,63.0
fed,37,3.0,4.0,4.0,2.0,5.0,3.0,21.0,2.0,1.0,1.0,6.0,1.0,2.0,16.0,4.0,4.0,0.0,1.0,16.0,4.0,0.0,74,239,9.0,1.0,17.0,0.0,11.0,6.0,0.0,0.0,2.0,0.0,0.0,34,10.0,4.0,1.0,14.0,5.0,0.0,35,2.0,1.0,1.0,14.0,2.0,0.0,1.0,1.0,8.0,0.0,11.0,32.0,21.0,15.0,2.0,26.0,1.0,6.0,10.0,0.0,8.0,4.0,37.0,52.0,5.0,8.0,71.0,56.0,4.0,20.0,12.0,0.0,0.0,14,3.0,0.0,1.0,10.0,2.0,0.0,1.0,6.0,12.0,14.0,8.0,13.0,0.0,7.0,0.0,1.0,4.0,152,0.0,10.0,7,12.0,12.0
feds,19,5.0,13.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,3.0,12.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,12,78,0.0,0.0,4.0,11.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,13,6.0,0.0,2.0,3.0,1.0,0.0,13,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,7.0,5.0,8.0,0.0,4.0,0.0,2.0,8.0,0.0,3.0,1.0,12.0,3.0,0.0,3.0,24.0,8.0,3.0,4.0,5.0,0.0,0.0,8,1.0,1.0,0.0,3.0,1.0,1.0,0.0,5.0,1.0,3.0,2.0,8.0,0.0,0.0,0.0,1.0,0.0,33,0.0,1.0,2,1.0,4.0
first,292,102.0,234.0,19.0,25.0,62.0,26.0,104.0,23.0,20.0,29.0,9.0,14.0,55.0,59.0,59.0,119.0,33.0,40.0,175.0,25.0,14.0,313,1297,19.0,9.0,109.0,6.0,9.0,0.0,5.0,9.0,66.0,26.0,0.0,115,34.0,126.0,305.0,37.0,49.0,2.0,360,14.0,14.0,1.0,21.0,6.0,7.0,10.0,42.0,24.0,19.0,21.0,54.0,37.0,72.0,51.0,120.0,9.0,56.0,28.0,0.0,266.0,12.0,30.0,36.0,51.0,686.0,162.0,49.0,57.0,53.0,5.0,1.0,10.0,25,3.0,7.0,21.0,66.0,22.0,1.0,40.0,122.0,38.0,39.0,14.0,73.0,12.0,11.0,45.0,5.0,31.0,263,0.0,45.0,33,412.0,184.0
focus,31,4.0,9.0,6.0,2.0,5.0,1.0,5.0,1.0,1.0,2.0,2.0,16.0,10.0,8.0,10.0,16.0,2.0,0.0,10.0,4.0,2.0,55,178,0.0,2.0,16.0,0.0,0.0,5.0,0.0,2.0,1.0,1.0,1.0,14,2.0,16.0,0.0,1.0,2.0,0.0,25,3.0,0.0,0.0,4.0,2.0,2.0,1.0,1.0,18.0,2.0,2.0,11.0,4.0,3.0,17.0,24.0,2.0,2.0,7.0,0.0,0.0,5.0,7.0,10.0,3.0,1.0,2.0,4.0,2.0,6.0,6.0,0.0,0.0,14,0.0,2.0,1.0,0.0,3.0,0.0,5.0,3.0,7.0,5.0,4.0,9.0,5.0,8.0,3.0,1.0,2.0,17,1.0,2.0,8,10.0,10.0
fuel,34,13.0,15.0,1.0,4.0,6.0,0.0,5.0,12.0,6.0,3.0,0.0,2.0,2.0,4.0,2.0,3.0,1.0,2.0,33.0,6.0,1.0,10,278,1.0,0.0,10.0,0.0,0.0,9.0,2.0,0.0,1.0,2.0,0.0,6,7.0,5.0,1.0,1.0,2.0,0.0,14,6.0,5.0,0.0,5.0,0.0,0.0,25.0,7.0,4.0,1.0,6.0,16.0,4.0,13.0,3.0,51.0,4.0,9.0,1.0,0.0,17.0,2.0,0.0,12.0,25.0,4.0,3.0,1.0,1.0,11.0,1.0,0.0,2.0,9,1.0,0.0,2.0,0.0,4.0,0.0,3.0,3.0,3.0,4.0,1.0,4.0,0.0,9.0,1.0,0.0,2.0,42,0.0,1.0,6,18.0,13.0
gdp,67,106.0,63.0,7.0,4.0,15.0,4.0,23.0,12.0,3.0,12.0,3.0,12.0,12.0,18.0,8.0,14.0,6.0,8.0,66.0,17.0,4.0,147,421,7.0,11.0,50.0,2.0,1.0,66.0,1.0,1.0,0.0,16.0,0.0,45,10.0,41.0,96.0,39.0,27.0,2.0,227,2.0,5.0,7.0,4.0,20.0,23.0,10.0,17.0,6.0,5.0,13.0,11.0,7.0,15.0,29.0,40.0,0.0,22.0,21.0,2.0,132.0,0.0,8.0,3.0,10.0,150.0,53.0,9.0,33.0,43.0,4.0,9.0,3.0,12,0.0,0.0,7.0,5.0,7.0,0.0,10.0,22.0,14.0,14.0,0.0,15.0,1.0,12.0,12.0,0.0,33.0,50,3.0,7.0,17,110.0,30.0
german,67,22.0,26.0,4.0,2.0,8.0,2.0,12.0,1.0,0.0,10.0,6.0,5.0,12.0,10.0,14.0,3.0,5.0,6.0,28.0,9.0,0.0,73,263,1.0,12.0,21.0,0.0,0.0,26.0,1.0,2.0,16.0,0.0,0.0,48,25.0,20.0,38.0,5.0,5.0,0.0,89,1.0,7.0,4.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,9.0,8.0,14.0,4.0,62.0,5.0,5.0,6.0,17.0,0.0,49.0,0.0,3.0,12.0,5.0,56.0,19.0,0.0,1.0,16.0,1.0,4.0,0.0,4,2.0,0.0,1.0,1.0,6.0,0.0,1.0,17.0,8.0,4.0,1.0,5.0,0.0,7.0,18.0,1.0,4.0,7,0.0,5.0,10,44.0,14.0
