words,"",2015,2016,4,abbas,arab,army,arrested,bank,boys,call,calls,children,city,conference,conflict,day,de,east,eu,first,flood,flooding,forces,france,french,gaza,greek,group,hamas,help,home,human,international,israel,israeli,israelipalestinian,israelpalestine,israels,jerusalem,jewish,justice,killed,la,land,latest,leader,man,media,meet,middle,minister,netanyahu,new,occupation,one,palestine,palestines,palestinian,palestinians,peace,police,president,propalestine,recognize,refugees,report,rights,sanders,says,school,shooting,shot,soccer,solidarity,solution,state,students,support,sushma,swaraj,syria,talks,team,texas,today,trump,two,uk,un,university,urges,us,violence,visit,war,week,west,woman,world
call,9.0,1.0,5.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,5.0,7.0,3.0,0.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,4.0,3.0,1.0,30,0.0,22.0,3.0,3.0,8.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,5.0,0.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0,4.0
calls,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0,5.0,5.0,3.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,11,0.0,5.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0
children,25.0,5.0,10.0,1.0,0.0,1.0,2.0,6.0,12.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,4.0,0.0,17.0,1.0,2.0,1.0,4.0,5.0,0.0,0.0,10.0,0.0,7.0,0.0,2.0,3.0,3.0,6.0,11.0,25.0,0.0,0.0,2.0,5.0,1.0,0.0,10.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,1.0,55,0.0,56.0,3.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,2.0,12.0,1.0,1.0
city,63.0,17.0,20.0,3.0,8.0,5.0,6.0,5.0,62.0,0.0,2.0,0.0,5.0,0.0,0.0,4.0,8.0,1.0,21.0,0.0,14.0,4.0,10.0,26.0,0.0,1.0,43.0,0.0,9.0,8.0,2.0,5.0,0.0,5.0,19.0,66.0,1.0,2.0,2.0,14.0,12.0,0.0,14.0,0.0,7.0,4.0,1.0,15.0,1.0,1.0,5.0,2.0,0.0,24.0,0.0,22.0,154,9.0,143.0,14.0,5.0,13.0,12.0,0.0,0.0,0.0,1.0,2.0,4.0,5.0,5.0,2.0,12.0,0.0,5.0,2.0,7.0,9.0,8.0,0.0,0.0,0.0,1.0,2.0,17.0,15.0,1.0,18.0,0.0,2.0,7.0,0.0,6.0,5.0,10.0,3.0,7.0,64.0,9.0,3.0
conference,32.0,1.0,20.0,6.0,13.0,9.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,6.0,3.0,6.0,0.0,0.0,0.0,25.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,54.0,29.0,9.0,17.0,5.0,4.0,2.0,0.0,2.0,0.0,0.0,2.0,5.0,1.0,0.0,6.0,0.0,9.0,24.0,2.0,9.0,4.0,0.0,58,5.0,53.0,12.0,35.0,0.0,13.0,0.0,11.0,1.0,0.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,5.0,22.0,3.0,6.0,0.0,0.0,1.0,7.0,1.0,1.0,2.0,0.0,0.0,1.0,5.0,1.0,0.0,4.0,0.0,0.0,0.0,4.0,3.0,0.0,4.0
conflict,48.0,1.0,10.0,0.0,3.0,5.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,4.0,7.0,0.0,2.0,4.0,23.0,4.0,15.0,0.0,0.0,2.0,8.0,8.0,6.0,0.0,4.0,4.0,2.0,0.0,3.0,19.0,70.0,25.0,113.0,54.0,1.0,11.0,7.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,3.0,5.0,21.0,13.0,5.0,22.0,1.0,11.0,86,2.0,30.0,5.0,30.0,1.0,33.0,0.0,2.0,9.0,7.0,2.0,4.0,3.0,6.0,1.0,0.0,0.0,0.0,57.0,14.0,7.0,4.0,0.0,0.0,9.0,8.0,0.0,0.0,9.0,7.0,15.0,0.0,8.0,5.0,1.0,20.0,9.0,4.0,6.0,5.0,4.0,0.0,13.0
day,39.0,11.0,19.0,0.0,3.0,5.0,0.0,0.0,11.0,6.0,2.0,0.0,4.0,8.0,0.0,2.0,0.0,0.0,4.0,0.0,12.0,0.0,1.0,3.0,0.0,1.0,10.0,1.0,4.0,0.0,1.0,1.0,2.0,39.0,25.0,22.0,1.0,0.0,4.0,3.0,5.0,3.0,5.0,0.0,26.0,1.0,2.0,1.0,3.0,3.0,0.0,11.0,2.0,11.0,12.0,8.0,82,10.0,83.0,13.0,7.0,0.0,8.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,9.0,0.0,4.0,6.0,25.0,2.0,8.0,4.0,6.0,6.0,5.0,1.0,0.0,8.0,1.0,2.0,2.0,7.0,0.0,6.0,2.0,0.0,3.0,0.0,9.0,2.0,3.0,15.0,2.0,6.0
de,75.0,3.0,17.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,78.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,108,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
east,212.0,46.0,110.0,8.0,3.0,9.0,9.0,8.0,19.0,9.0,1.0,0.0,17.0,21.0,6.0,23.0,4.0,0.0,0.0,3.0,23.0,7.0,34.0,14.0,2.0,6.0,18.0,0.0,4.0,0.0,3.0,15.0,5.0,143.0,46.0,47.0,9.0,5.0,7.0,55.0,5.0,0.0,35.0,0.0,6.0,16.0,3.0,33.0,141.0,5.0,262.0,16.0,1.0,32.0,10.0,32.0,444,8.0,99.0,14.0,43.0,31.0,15.0,1.0,0.0,41.0,8.0,4.0,2.0,17.0,24.0,6.0,18.0,1.0,3.0,10.0,30.0,3.0,6.0,6.0,5.0,4.0,6.0,14.0,112.0,100.0,2.0,34.0,1.0,19.0,5.0,0.0,4.0,9.0,10.0,1.0,59.0,28.0,43.0,5.0
eu,6.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,10.0,17.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,3.0,4.0,1.0,14,0.0,13.0,1.0,4.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0
first,66.0,9.0,15.0,9.0,6.0,6.0,0.0,0.0,27.0,0.0,0.0,0.0,2.0,14.0,6.0,15.0,12.0,7.0,23.0,0.0,0.0,3.0,4.0,2.0,2.0,3.0,7.0,0.0,9.0,1.0,2.0,2.0,0.0,13.0,42.0,9.0,11.0,4.0,3.0,5.0,8.0,6.0,3.0,0.0,3.0,1.0,9.0,6.0,6.0,2.0,14.0,26.0,1.0,44.0,1.0,19.0,183,19.0,97.0,29.0,13.0,3.0,15.0,2.0,2.0,4.0,2.0,0.0,1.0,2.0,7.0,0.0,2.0,0.0,5.0,7.0,29.0,11.0,2.0,17.0,15.0,1.0,4.0,13.0,7.0,7.0,1.0,20.0,3.0,5.0,3.0,0.0,8.0,3.0,26.0,4.0,7.0,37.0,2.0,11.0
flood,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,34,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0
flooding,41.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,0.0,1.0,0.0,34.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,95,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,35.0,0.0
forces,65.0,38.0,15.0,3.0,3.0,2.0,14.0,16.0,51.0,2.0,0.0,0.0,5.0,26.0,0.0,2.0,3.0,1.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,7.0,2.0,1.0,0.0,3.0,5.0,18.0,152.0,1.0,0.0,9.0,15.0,0.0,1.0,16.0,0.0,3.0,7.0,0.0,16.0,2.0,0.0,0.0,1.0,0.0,7.0,16.0,12.0,56,1.0,140.0,27.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,2.0,3.0,36.0,0.0,1.0,0.0,6.0,6.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,18.0,0.0,19.0,0.0,0.0,7.0,0.0,5.0,15.0,0.0,2.0,7.0,55.0,9.0,2.0
france,14.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,8.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,10.0,6.0,11.0,5.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,16.0,4.0,3.0,0.0,1.0,22,1.0,34.0,8.0,24.0,0.0,4.0,1.0,15.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,20.0,0.0,3.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0
french,13.0,0.0,1.0,0.0,7.0,5.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,17.0,8.0,1.0,0.0,6.0,2.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,23.0,19.0,16.0,5.0,7.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,2.0,7.0,27.0,8.0,2.0,5.0,3.0,32,0.0,37.0,9.0,40.0,0.0,16.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,16.0,0.0,6.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,4.0,0.0,3.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,2.0,1.0,3.0
gaza,79.0,22.0,27.0,1.0,4.0,3.0,9.0,0.0,38.0,1.0,1.0,2.0,10.0,43.0,0.0,6.0,10.0,3.0,18.0,1.0,7.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,7.0,25.0,1.0,9.0,5.0,8.0,60.0,66.0,2.0,0.0,7.0,13.0,1.0,2.0,12.0,4.0,4.0,2.0,2.0,4.0,9.0,0.0,1.0,6.0,1.0,7.0,2.0,9.0,94,2.0,162.0,24.0,1.0,2.0,6.0,3.0,0.0,12.0,4.0,3.0,1.0,2.0,3.0,0.0,3.0,0.0,5.0,0.0,9.0,4.0,6.0,0.0,0.0,2.0,3.0,6.0,0.0,9.0,0.0,13.0,0.0,8.0,4.0,0.0,2.0,0.0,4.0,13.0,4.0,39.0,2.0,3.0
greek,5.0,2.0,0.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,41,0.0,25.0,0.0,0.0,0.0,23.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0
group,40.0,5.0,11.0,0.0,5.0,7.0,3.0,2.0,9.0,0.0,1.0,2.0,7.0,9.0,2.0,4.0,4.0,0.0,4.0,1.0,9.0,0.0,0.0,7.0,0.0,4.0,7.0,0.0,0.0,10.0,1.0,1.0,5.0,9.0,24.0,30.0,4.0,2.0,6.0,7.0,12.0,15.0,4.0,0.0,1.0,0.0,5.0,1.0,2.0,3.0,1.0,8.0,0.0,19.0,2.0,8.0,93,2.0,85.0,12.0,10.0,1.0,6.0,3.0,0.0,3.0,4.0,13.0,0.0,10.0,10.0,3.0,1.0,0.0,4.0,1.0,13.0,21.0,10.0,0.0,0.0,2.0,1.0,1.0,1.0,12.0,0.0,12.0,1.0,1.0,17.0,0.0,10.0,7.0,4.0,1.0,4.0,11.0,2.0,12.0
hamas,12.0,1.0,4.0,0.0,1.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,25.0,0.0,10.0,0.0,0.0,0.0,1.0,2.0,18.0,10.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,0.0,6.0,1.0,3.0,2.0,0.0,1.0,0.0,2.0,1.0,2.0,19,1.0,67.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0
help,5.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,3.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,6.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,0.0,2.0,2.0,4.0,25,0.0,15.0,2.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,1.0
home,33.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,10.0,1.0,1.0,1.0,3.0,5.0,0.0,0.0,1.0,0.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,1.0,2.0,2.0,3.0,15.0,1.0,6.0,1.0,3.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,9.0,0.0,6.0,83,0.0,38.0,1.0,2.0,6.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,7.0,1.0,0.0,10.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,4.0,10.0,2.0,2.0,9.0,0.0,2.0,0.0,0.0,5.0,1.0,0.0,1.0,5.0,11.0,13.0,19.0
human,14.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,2.0,3.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,5.0,1.0,0.0,0.0,0.0,12.0,32.0,18.0,1.0,4.0,6.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,6.0,6.0,6.0,62,2.0,71.0,3.0,2.0,3.0,1.0,0.0,0.0,1.0,4.0,121.0,1.0,22.0,1.0,1.0,0.0,0.0,6.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,3.0,0.0,6.0,0.0,13.0,5.0,0.0,2.0,2.0,0.0,1.0,6.0,3.0,0.0,0.0
