words,"",2016,action,address,administration,america,americans,attack,attacks,back,barack,bill,brexit,budget,calls,campaign,change,climate,clinton,congress,control,court,cruz,cuba,deal,donald,executive,fight,final,first,gop,gun,guns,help,hillary,hiroshima,historic,house,immigration,iran,isis,islamic,last,law,leaders,legacy,make,makes,meet,meeting,michelle,national,new,next,nominee,nuclear,obama,obamas,one,orlando,paris,pick,plan,plans,policy,president,republican,republicans,sanders,says,security,senate,shooting,show,signs,speech,state,summit,supreme,syria,take,tax,tells,terror,trade,trip,trudeau,trump,trumps,union,urges,us,visit,wants,war,watch,white,wont,world,year
barack,2646,412.0,143.0,465.0,339.0,198.0,334.0,170.0,209.0,218.0,0,174.0,50.0,174.0,61.0,405.0,274.0,284.0,389.0,403.0,188.0,549.0,55.0,317.0,172.0,499.0,261.0,282.0,452.0,891,93.0,375.0,95.0,286.0,406.0,175.0,259.0,1630.0,97.0,100.0,147.0,436.0,475.0,277.0,468.0,94.0,325.0,59.0,294.0,408.0,199.0,511.0,766.0,426.0,326.0,277.0,11455,1736,610.0,141.0,289.0,61.0,214.0,173.0,187.0,11355,538.0,316.0,155.0,512.0,426.0,279.0,246.0,181.0,16.0,289.0,955.0,330.0,529.0,220.0,228.0,96.0,12.0,112.0,238.0,273.0,139.0,417.0,105.0,412.0,6.0,3586,887.0,97.0,219.0,56.0,1590.0,74.0,413.0,451.0
bill,61,11.0,6.0,8.0,17.0,11.0,7.0,0.0,4.0,4.0,174,0.0,0.0,8.0,1.0,7.0,1.0,1.0,44.0,37.0,5.0,6.0,2.0,4.0,0.0,7.0,3.0,2.0,6.0,16,2.0,4.0,0.0,11.0,11.0,0.0,0.0,60.0,3.0,1.0,1.0,0.0,15.0,64.0,1.0,0.0,11.0,2.0,2.0,4.0,0.0,3.0,42.0,8.0,0.0,0.0,299,57,12.0,1.0,0.0,1.0,10.0,0.0,12.0,285,13.0,10.0,5.0,13.0,6.0,33.0,3.0,6.0,11.0,0.0,7.0,0.0,2.0,2.0,5.0,5.0,0.0,1.0,16.0,0.0,0.0,7.0,1.0,1.0,0.0,51,1.0,1.0,8.0,1.0,34.0,3.0,12.0,6.0
brexit,12,0.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,6.0,50,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,4.0,0.0,1.0,3.0,8,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,2.0,1.0,0.0,61,16,3.0,0.0,0.0,0.0,0.0,0.0,0.0,50,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,4.0,1.0,22.0,0.0,26,10.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
budget,63,10.0,2.0,7.0,36.0,0.0,9.0,0.0,0.0,1.0,174,8.0,0.0,0.0,6.0,5.0,9.0,5.0,0.0,73.0,3.0,1.0,0.0,1.0,11.0,1.0,4.0,4.0,78.0,5,2.0,1.0,0.0,16.0,1.0,0.0,1.0,74.0,0.0,0.0,4.0,6.0,30.0,2.0,5.0,1.0,5.0,3.0,6.0,1.0,0.0,4.0,70.0,42.0,0.0,1.0,252,102,14.0,0.0,0.0,0.0,45.0,13.0,11.0,268,18.0,14.0,1.0,7.0,10.0,10.0,0.0,2.0,3.0,1.0,15.0,0.0,1.0,0.0,3.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,54,1.0,4.0,6.0,0.0,61.0,3.0,4.0,66.0
calls,21,3.0,1.0,4.0,12.0,2.0,2.0,5.0,6.0,7.0,61,1.0,0.0,6.0,0.0,6.0,5.0,1.0,2.0,5.0,4.0,5.0,1.0,3.0,2.0,8.0,0.0,0.0,4.0,6,2.0,9.0,1.0,3.0,1.0,0.0,1.0,7.0,0.0,2.0,3.0,9.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,3.0,29.0,0.0,3.0,1.0,137,17,8.0,5.0,3.0,0.0,3.0,2.0,1.0,94,15.0,6.0,4.0,11.0,2.0,2.0,5.0,1.0,1.0,2.0,10.0,4.0,6.0,3.0,2.0,2.0,0.0,3.0,1.0,2.0,0.0,8.0,6.0,3.0,0.0,40,1.0,0.0,3.0,1.0,6.0,2.0,8.0,5.0
campaign,129,68.0,1.0,18.0,24.0,18.0,11.0,2.0,24.0,16.0,405,7.0,4.0,5.0,6.0,0.0,8.0,5.0,139.0,12.0,3.0,15.0,9.0,3.0,3.0,115.0,9.0,12.0,18.0,74,20.0,13.0,6.0,15.0,146.0,0.0,3.0,73.0,4.0,2.0,24.0,54.0,24.0,5.0,18.0,9.0,27.0,5.0,13.0,17.0,8.0,36.0,50.0,35.0,41.0,0.0,595,131,37.0,5.0,21.0,6.0,9.0,10.0,13.0,511,88.0,11.0,36.0,28.0,26.0,14.0,0.0,9.0,0.0,20.0,90.0,3.0,16.0,29.0,9.0,0.0,0.0,3.0,8.0,9.0,0.0,102.0,27.0,21.0,0.0,125,33.0,3.0,14.0,2.0,72.0,5.0,13.0,18.0
change,111,4.0,27.0,28.0,46.0,10.0,9.0,11.0,9.0,5.0,274,1.0,2.0,9.0,5.0,8.0,0.0,353.0,3.0,13.0,7.0,15.0,1.0,23.0,10.0,6.0,7.0,26.0,17.0,18,3.0,11.0,1.0,16.0,4.0,1.0,27.0,42.0,7.0,4.0,12.0,10.0,21.0,4.0,32.0,16.0,9.0,4.0,11.0,17.0,2.0,17.0,37.0,23.0,1.0,8.0,457,80,31.0,0.0,99.0,1.0,16.0,6.0,21.0,397,6.0,10.0,0.0,14.0,17.0,3.0,3.0,6.0,0.0,9.0,44.0,30.0,9.0,8.0,10.0,0.0,0.0,3.0,9.0,16.0,21.0,9.0,2.0,14.0,0.0,117,23.0,23.0,5.0,0.0,40.0,6.0,52.0,18.0
climate,101,2.0,31.0,18.0,36.0,2.0,9.0,6.0,16.0,4.0,284,1.0,0.0,5.0,1.0,5.0,353.0,0.0,0.0,14.0,3.0,21.0,1.0,5.0,26.0,10.0,4.0,27.0,16.0,14,8.0,4.0,0.0,16.0,1.0,0.0,19.0,50.0,2.0,9.0,13.0,11.0,25.0,2.0,46.0,17.0,8.0,4.0,16.0,22.0,0.0,15.0,31.0,27.0,3.0,9.0,475,72,31.0,0.0,222.0,1.0,17.0,7.0,18.0,429,15.0,16.0,0.0,15.0,18.0,6.0,1.0,5.0,0.0,8.0,39.0,59.0,15.0,11.0,14.0,0.0,0.0,3.0,13.0,9.0,26.0,12.0,0.0,5.0,0.0,121,17.0,18.0,9.0,0.0,51.0,2.0,50.0,16.0
clinton,108,32.0,2.0,4.0,26.0,8.0,8.0,9.0,5.0,11.0,389,44.0,0.0,0.0,2.0,139.0,3.0,0.0,0.0,3.0,4.0,14.0,5.0,1.0,3.0,89.0,6.0,10.0,7.0,67,10.0,5.0,4.0,24.0,669.0,0.0,4.0,71.0,1.0,2.0,8.0,7.0,15.0,0.0,5.0,15.0,16.0,7.0,10.0,19.0,10.0,13.0,51.0,41.0,59.0,2.0,702,119,33.0,8.0,0.0,2.0,4.0,10.0,15.0,542,33.0,15.0,124.0,28.0,9.0,3.0,5.0,10.0,0.0,15.0,105.0,0.0,15.0,1.0,12.0,0.0,1.0,0.0,7.0,0.0,0.0,96.0,17.0,1.0,1.0,42,5.0,6.0,3.0,1.0,70.0,4.0,5.0,9.0
congress,160,21.0,29.0,50.0,103.0,9.0,13.0,8.0,5.0,13.0,403,37.0,0.0,73.0,5.0,12.0,13.0,14.0,3.0,0.0,56.0,23.0,1.0,21.0,34.0,4.0,59.0,55.0,56.0,28,4.0,79.0,12.0,56.0,3.0,0.0,3.0,83.0,16.0,10.0,11.0,9.0,50.0,19.0,7.0,3.0,27.0,4.0,15.0,6.0,0.0,17.0,71.0,44.0,10.0,6.0,683,118,44.0,5.0,9.0,2.0,63.0,20.0,22.0,623,32.0,41.0,2.0,25.0,7.0,18.0,17.0,4.0,1.0,25.0,57.0,1.0,18.0,1.0,27.0,43.0,1.0,2.0,33.0,3.0,0.0,4.0,0.0,46.0,4.0,161,1.0,9.0,20.0,9.0,72.0,5.0,5.0,50.0
control,76,6.0,37.0,14.0,18.0,10.0,13.0,13.0,2.0,5.0,188,5.0,0.0,3.0,4.0,3.0,7.0,3.0,4.0,56.0,0.0,5.0,1.0,0.0,1.0,12.0,96.0,11.0,14.0,18,2.0,318.0,19.0,10.0,5.0,0.0,0.0,45.0,3.0,0.0,4.0,5.0,17.0,10.0,4.0,6.0,19.0,2.0,11.0,17.0,0.0,23.0,53.0,6.0,4.0,1.0,314,88,19.0,20.0,1.0,0.0,17.0,14.0,2.0,314,14.0,9.0,2.0,8.0,1.0,12.0,42.0,3.0,1.0,15.0,12.0,1.0,5.0,1.0,25.0,1.0,1.0,3.0,1.0,0.0,0.0,11.0,1.0,3.0,0.0,65,2.0,5.0,0.0,7.0,44.0,3.0,2.0,21.0
court,222,19.0,15.0,4.0,103.0,2.0,7.0,2.0,0.0,14.0,549,6.0,1.0,1.0,5.0,15.0,15.0,21.0,14.0,23.0,5.0,0.0,7.0,3.0,0.0,13.0,46.0,38.0,4.0,30,11.0,3.0,0.0,5.0,12.0,0.0,2.0,70.0,60.0,0.0,0.0,0.0,30.0,52.0,29.0,4.0,22.0,5.0,20.0,7.0,5.0,6.0,45.0,38.0,281.0,1.0,818,247,38.0,0.0,0.0,64.0,70.0,16.0,8.0,835,82.0,170.0,1.0,29.0,2.0,178.0,0.0,1.0,2.0,2.0,12.0,0.0,913.0,0.0,18.0,0.0,0.0,0.0,3.0,6.0,0.0,7.0,0.0,2.0,0.0,213,10.0,5.0,1.0,1.0,78.0,10.0,2.0,25.0
cruz,17,6.0,1.0,2.0,6.0,5.0,0.0,3.0,6.0,8.0,55,2.0,0.0,0.0,1.0,9.0,1.0,1.0,5.0,1.0,1.0,7.0,0.0,4.0,3.0,38.0,3.0,3.0,6.0,6,16.0,1.0,1.0,1.0,4.0,0.0,1.0,9.0,8.0,3.0,4.0,4.0,0.0,2.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,8.0,5.0,1.0,2.0,0.0,109,26,7.0,0.0,1.0,0.0,3.0,3.0,5.0,102,41.0,5.0,1.0,7.0,7.0,5.0,0.0,0.0,0.0,6.0,10.0,0.0,6.0,2.0,1.0,0.0,0.0,4.0,1.0,3.0,3.0,47.0,2.0,4.0,0.0,24,1.0,1.0,3.0,0.0,7.0,3.0,2.0,0.0
cuba,120,11.0,4.0,12.0,69.0,18.0,15.0,4.0,18.0,16.0,317,4.0,0.0,1.0,3.0,3.0,23.0,5.0,1.0,21.0,0.0,3.0,4.0,0.0,6.0,1.0,5.0,0.0,15.0,117,0.0,0.0,0.0,10.0,1.0,0.0,141.0,31.0,0.0,12.0,3.0,1.0,39.0,4.0,7.0,8.0,32.0,8.0,17.0,7.0,17.0,9.0,45.0,51.0,2.0,2.0,481,106,41.0,0.0,3.0,0.0,25.0,13.0,25.0,457,8.0,0.0,0.0,9.0,5.0,1.0,0.0,4.0,2.0,7.0,20.0,0.0,3.0,0.0,12.0,0.0,3.0,7.0,27.0,124.0,0.0,2.0,0.0,1.0,0.0,206,189.0,10.0,31.0,2.0,32.0,3.0,4.0,26.0
deal,73,4.0,3.0,8.0,54.0,2.0,6.0,1.0,4.0,29.0,172,0.0,6.0,11.0,2.0,3.0,10.0,26.0,3.0,34.0,1.0,0.0,3.0,6.0,0.0,7.0,1.0,16.0,9.0,10,3.0,3.0,1.0,14.0,5.0,0.0,8.0,23.0,0.0,106.0,3.0,13.0,30.0,2.0,14.0,6.0,6.0,1.0,2.0,6.0,2.0,4.0,37.0,9.0,0.0,101.0,301,56,14.0,0.0,29.0,0.0,9.0,4.0,14.0,224,12.0,14.0,1.0,18.0,8.0,8.0,0.0,0.0,2.0,3.0,9.0,12.0,0.0,6.0,19.0,4.0,0.0,0.0,98.0,0.0,0.0,10.0,0.0,18.0,1.0,95,13.0,7.0,2.0,0.0,19.0,2.0,17.0,24.0
donald,169,41.0,6.0,23.0,24.0,28.0,11.0,22.0,16.0,25.0,499,7.0,4.0,1.0,8.0,115.0,6.0,10.0,89.0,4.0,12.0,13.0,38.0,1.0,7.0,0.0,17.0,6.0,23.0,43,94.0,17.0,6.0,10.0,99.0,2.0,4.0,72.0,22.0,6.0,7.0,19.0,29.0,3.0,41.0,9.0,18.0,2.0,2.0,15.0,8.0,19.0,44.0,13.0,117.0,24.0,802,111,39.0,21.0,0.0,0.0,8.0,8.0,20.0,767,370.0,37.0,22.0,73.0,16.0,5.0,10.0,38.0,0.0,47.0,36.0,12.0,11.0,0.0,15.0,2.0,5.0,11.0,24.0,6.0,2.0,823.0,180.0,25.0,0.0,133,13.0,4.0,2.0,2.0,68.0,11.0,40.0,7.0
executive,89,20.0,128.0,13.0,48.0,3.0,7.0,0.0,1.0,4.0,261,3.0,0.0,4.0,0.0,9.0,7.0,4.0,6.0,59.0,96.0,46.0,3.0,5.0,1.0,17.0,0.0,6.0,12.0,23,4.0,240.0,66.0,9.0,6.0,0.0,0.0,69.0,46.0,3.0,0.0,0.0,26.0,8.0,2.0,1.0,20.0,14.0,15.0,11.0,4.0,21.0,87.0,16.0,0.0,5.0,461,226,18.0,0.0,0.0,0.0,23.0,18.0,9.0,522,22.0,24.0,2.0,15.0,7.0,7.0,7.0,11.0,2.0,11.0,12.0,0.0,40.0,0.0,32.0,3.0,0.0,1.0,3.0,2.0,0.0,19.0,1.0,2.0,0.0,83,2.0,2.0,2.0,4.0,65.0,5.0,1.0,37.0
fight,130,5.0,8.0,17.0,48.0,12.0,13.0,2.0,16.0,8.0,282,2.0,1.0,4.0,0.0,12.0,26.0,27.0,10.0,55.0,11.0,38.0,3.0,0.0,16.0,6.0,6.0,0.0,8.0,11,3.0,14.0,1.0,51.0,17.0,0.0,1.0,55.0,11.0,9.0,39.0,131.0,21.0,6.0,19.0,0.0,7.0,1.0,11.0,15.0,2.0,26.0,40.0,11.0,8.0,11.0,421,39,16.0,3.0,21.0,1.0,11.0,4.0,12.0,373,15.0,40.0,7.0,14.0,26.0,15.0,5.0,4.0,0.0,11.0,138.0,12.0,33.0,39.0,12.0,7.0,0.0,13.0,7.0,2.0,3.0,5.0,3.0,6.0,1.0,123,20.0,12.0,13.0,0.0,53.0,8.0,19.0,9.0
final,154,31.0,6.0,237.0,59.0,14.0,35.0,2.0,5.0,17.0,452,6.0,3.0,78.0,4.0,18.0,17.0,16.0,7.0,56.0,14.0,4.0,6.0,15.0,9.0,23.0,12.0,8.0,0.0,51,5.0,17.0,3.0,7.0,9.0,4.0,13.0,145.0,3.0,7.0,8.0,18.0,42.0,5.0,14.0,22.0,29.0,4.0,2.0,9.0,23.0,21.0,47.0,21.0,1.0,10.0,661,171,56.0,0.0,10.0,1.0,29.0,12.0,15.0,650,39.0,18.0,4.0,12.0,17.0,13.0,1.0,9.0,0.0,82.0,306.0,17.0,4.0,1.0,14.0,19.0,0.0,2.0,10.0,18.0,1.0,21.0,1.0,277.0,2.0,127,41.0,6.0,10.0,8.0,136.0,4.0,18.0,188.0
first,355,51.0,10.0,65.0,73.0,36.0,39.0,41.0,15.0,26.0,891,16.0,8.0,5.0,6.0,74.0,18.0,14.0,67.0,28.0,18.0,30.0,6.0,117.0,10.0,43.0,23.0,11.0,51.0,0,10.0,30.0,6.0,16.0,63.0,143.0,56.0,261.0,2.0,6.0,9.0,48.0,63.0,35.0,34.0,16.0,90.0,14.0,50.0,38.0,476.0,63.0,117.0,92.0,27.0,70.0,1670,261,119.0,6.0,19.0,3.0,16.0,28.0,20.0,1277,48.0,20.0,9.0,37.0,25.0,11.0,13.0,36.0,3.0,55.0,132.0,40.0,28.0,5.0,29.0,7.0,3.0,2.0,10.0,91.0,23.0,40.0,8.0,47.0,2.0,485,417.0,17.0,48.0,9.0,261.0,13.0,80.0,75.0
gop,51,15.0,1.0,4.0,14.0,7.0,1.0,3.0,5.0,13.0,93,2.0,0.0,2.0,2.0,20.0,3.0,8.0,10.0,4.0,2.0,11.0,16.0,0.0,3.0,94.0,4.0,3.0,5.0,10,0.0,3.0,3.0,5.0,10.0,0.0,1.0,29.0,2.0,2.0,4.0,0.0,6.0,3.0,17.0,1.0,3.0,0.0,2.0,0.0,0.0,4.0,12.0,6.0,46.0,1.0,193,47,14.0,1.0,4.0,3.0,4.0,4.0,5.0,177,49.0,28.0,1.0,12.0,7.0,16.0,0.0,4.0,0.0,2.0,7.0,0.0,12.0,2.0,6.0,0.0,0.0,2.0,1.0,0.0,1.0,88.0,15.0,2.0,0.0,15,1.0,3.0,3.0,0.0,19.0,7.0,6.0,8.0
gun,134,23.0,84.0,33.0,31.0,23.0,35.0,16.0,5.0,8.0,375,4.0,0.0,1.0,9.0,13.0,11.0,4.0,5.0,79.0,318.0,3.0,1.0,0.0,3.0,17.0,240.0,14.0,17.0,30,3.0,0.0,55.0,22.0,7.0,0.0,1.0,68.0,5.0,0.0,4.0,4.0,38.0,23.0,4.0,2.0,44.0,2.0,34.0,33.0,1.0,39.0,144.0,13.0,1.0,1.0,635,180,35.0,29.0,2.0,0.0,28.0,32.0,6.0,643,19.0,13.0,4.0,13.0,5.0,6.0,87.0,17.0,1.0,26.0,23.0,1.0,0.0,0.0,55.0,0.0,1.0,4.0,0.0,0.0,1.0,17.0,0.0,6.0,3.0,116,2.0,10.0,1.0,4.0,68.0,7.0,2.0,36.0
guns,46,3.0,14.0,1.0,7.0,21.0,9.0,2.0,3.0,2.0,95,0.0,0.0,0.0,1.0,6.0,1.0,0.0,4.0,12.0,19.0,0.0,1.0,0.0,1.0,6.0,66.0,1.0,3.0,6,3.0,55.0,0.0,1.0,4.0,1.0,0.0,12.0,0.0,0.0,2.0,0.0,3.0,6.0,2.0,1.0,18.0,0.0,7.0,13.0,0.0,5.0,18.0,1.0,1.0,1.0,146,55,6.0,4.0,0.0,0.0,16.0,0.0,1.0,149,18.0,0.0,8.0,6.0,0.0,1.0,9.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,21.0,0.0,0.0,3.0,2.0,0.0,1.0,7.0,0.0,0.0,0.0,20,1.0,4.0,1.0,2.0,11.0,5.0,2.0,5.0
help,127,2.0,0.0,14.0,58.0,8.0,20.0,2.0,10.0,11.0,286,11.0,0.0,16.0,3.0,15.0,16.0,16.0,24.0,56.0,10.0,5.0,1.0,10.0,14.0,10.0,9.0,51.0,7.0,16,5.0,22.0,1.0,0.0,25.0,1.0,11.0,44.0,0.0,3.0,4.0,36.0,14.0,20.0,14.0,1.0,24.0,1.0,8.0,7.0,8.0,11.0,53.0,12.0,10.0,9.0,428,48,19.0,1.0,6.0,1.0,24.0,9.0,3.0,377,7.0,15.0,1.0,27.0,20.0,8.0,1.0,2.0,0.0,3.0,60.0,9.0,4.0,21.0,4.0,18.0,1.0,4.0,14.0,7.0,0.0,11.0,2.0,2.0,0.0,120,22.0,21.0,23.0,1.0,42.0,6.0,4.0,13.0
